clust_id,clust_rep,new_Kingdom,new_Phylum,new_Class,new_Order,new_Family,new_Genus,new_Species,problematic_tax
0,EU124380.1.1624,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae/Staphylococcaceae,Bacillus/Staphylococcus,BacillusStaphylococcus thuringiensis/81934/anthracis/pneumoniae/mycoides/Ambiguous_taxa/cereus/AN6-4/bacterium/210_35/sp./7S7/gaemokensis/344/AHBR2/2014N41/H61(2015)/R31(2015)/R32(2015)/9-gw1-9/R35/R24(2015)/L19(2015)/MG-2011-76-DO/EM30/OSM29/S1/BP-Spi-AY/PCSAS2-13/Z2/TSWCSN11/B2(2014)/H1(2008)/EM33/SG6/MH01/pseudomycoides/H77/L18(2015)/USTB-O/T3-8/TLCL8/OU-40/YDWHNR1/ND97/BSP13/weihenstephanensis/Gut14/CMST-MSU-APL1/EGY-SCuR5/HSL100/TKBbeta1/CDB3/SYW8/H69(2015)/KB2.3F30/RA5/L7-3/cp-h56/M42(2010)/Fxzk24-H/subtilis/F-3/SYW1/BD-30/Y17/YXC3-y/SSKSD14/S256/YXA3-43/YTM085716/DYJL43/toyonensis/M41(2010)/ATY3/YX-6/D43/CWP1-6-1/ARb03/B31(2008)/SGb418/C45/W56/18-6/JS-37/GG3(2015)/FP1/SJ1/JP25/ZTE1/A16ZZ/CSP2-25-1-1/RW-1/EGY-SCB2/L64/Man17/brevis/aureus/SK1/ARb27/AG3(2014)/GC2(2014)/010/P-1/EBW4/H72/MML1/samanii/pumilus/NW-2013-R8/SGE100(2010)/CS2/SGE144(2010)/BT2/DU187(2010)/DU162(2010)/LW3-LECU4B-W/UFLA04-320/EGY-WCP10/C3I14/4(2010)/E4-9/E4-12/BAB-3953/S1M4/B17(2009)/11_St_13/WCP9/RSP-VGM-61/Hg23/Hg22/GG6(2015)/MML3/BAB-3956/AS2/SNG-2/YTN085701-1(137),Disc.Fam_Bacillaceae/Staphylococcaceae(2)
10007,EF574294.1.1496,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
10016,EF595525.1.1531,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Heveochlorella hainangensis/uncultured bacterium,Heveochlorella hainangensis/uncultured bacterium,Heveochlorella hainangensisuncultured bacterium hainangensis/bacterium(2),Disc.Fam_Heveochlorella hainangensis/uncultured bacterium(2)
10043,EF646146.1.1476,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),Ambiguous_taxa/uncultured marine bacterium,Ambiguous_taxa/uncultured marine bacterium,Ambiguous_taxauncultured marine bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured marine bacterium(2)
10079,EU035866.1.1527,Bacteria,Marinimicrobia (SAR406 clade),Ambiguous_taxa/uncultured marine bacterium,Ambiguous_taxa/uncultured marine bacterium,Ambiguous_taxa/uncultured marine bacterium,Ambiguous_taxa/uncultured marine bacterium,Ambiguous_taxauncultured marine bacterium Ambiguous_taxa/bacterium(2),Disc.Class_)Ambiguous_taxa/uncultured marine bacterium(2)
101,HQ772767.1.1411,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae/Ruminococcaceae,Peptoclostridium/Ruminococcaceae UCG-011/uncultured,PeptoclostridiumRuminococcaceae UCG-011uncultured Ambiguous_taxa/organism/bacterium(3),Disc.Fam_Peptostreptococcaceae/Ruminococcaceae(2)
10127,EU133400.1.1317,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncultured/uncultured bacterium,uncultured bacterium,uncultured bacterium bacterium(1),Disc.Fam_uncultured/uncultured bacterium(2)
10173,EU150236.1.1517,Bacteria,Acidobacteria,Holophagae,Subgroup 7,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
10192,EU193023.1.1506,Bacteria,Acidobacteria,Subgroup 6,Ambiguous_taxa/uncultured Acidobacteriales bacterium,Ambiguous_taxa/uncultured Acidobacteriales bacterium,Ambiguous_taxa/uncultured Acidobacteriales bacterium,Ambiguous_taxauncultured Acidobacteriales bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured Acidobacteriales bacterium(2)
10198,EU202807.1.1455,Bacteria,Acidobacteria,Subgroup 6,uncultured Acidobacteriales bacterium/uncultured bacterium,uncultured Acidobacteriales bacterium/uncultured bacterium,uncultured Acidobacteriales bacterium/uncultured bacterium,uncultured Acidobacteriales bacteriumuncultured bacterium bacterium(1),Disc.Ord_uncultured Acidobacteriales bacterium/uncultured bacterium(2)
1022,CT573540.2.1346,Archaea,Euryarchaeota,Thermococci,Methanofastidiosales,Methanofastidiosaceae/Ambiguous_taxa/uncultured,Candidatus Methanofastidiosum/Ambiguous_taxa/uncultured archaeon,Candidatus MethanofastidiosumAmbiguous_taxauncultured archaeon Ambiguous_taxa/archaeon/bacterium(3),Disc.Fam_Methanofastidiosaceae/Ambiguous_taxa/uncultured(3)
