UserInputNames	nb_genomes
Bacillus cereus ATCC 10987	1
Bifidobacterium adolescentis ATCC 15703	1
Clostridium beijerinckii NCIMB 8052	1
Deinococcus radiodurans R1	1
Enterococcus faecalis OG1RF	1
Escherichia coli str. K-12 substr. MG1655	1
Lactobacillus gasseri ATCC 33323	1
Rhodobacter sphaeroides 2.4.1	1
Staphylococcus epidermidis ATCC 12228	1
Streptococcus mutans UA159	1
Acinetobacter baumannii ATCC 17978	1
Schaalia odontolytica	1
Bacteroides vulgatus ATCC 8482	1
Helicobacter pylori ATCC 700392	1
Neisseria meningitidis MC58	1
Porphyromonas gingivalis ATCC 33277	1
Cutibacterium acnes subsp. defendens ATCC 11828	1
Pseudomonas aeruginosa PA7	1
Staphylococcus aureus subsp. aureus NCTC 8325	1
208435	1
